1.03, 0.560062, -3.54754, 1.54408, -5.03301
1.04, 0.556957, -3.5812, 1.51933, -5.1174
1.05, 0.55431, -3.61463, 1.49372, -5.2014
1.06, 0.55212, -3.64786, 1.46724, -5.28492
1.07, 0.550381, -3.68094, 1.43991, -5.36789
1.08, 0.549085, -3.71392, 1.41174, -5.45024
1.09, 0.548221, -3.74684, 1.38273, -5.53189
1.1, 0.547775, -3.77973, 1.3529, -5.61276
1.11, 0.547729, -3.81266, 1.32227, -5.69278
1.12, 0.548065, -3.84565, 1.29085, -5.77186
1.13, 0.548759, -3.87875, 1.25866, -5.84995
1.14, 0.549785, -3.91201, 1.22573, -5.92695
1.15, 0.551117, -3.94546, 1.19209, -6.0028
1.16, 0.552722, -3.97914, 1.15776, -6.07743
1.17, 0.554567, -4.01308, 1.12278, -6.15076
1.18, 0.556616, -4.04733, 1.08717, -6.22274
1.19, 0.558832, -4.08191, 1.05098, -6.29328
1.2, 0.561174, -4.11684, 1.01423, -6.36234
1.21, 0.5636, -4.15216, 0.97698, -6.42985
1.22, 0.566066, -4.18789, 0.939257, -6.49575
1.23, 0.568527, -4.22405, 0.901108, -6.56
1.24, 0.570935, -4.26064, 0.862576, -6.62253
1.25, 0.573244, -4.29768, 0.823706, -6.68331
1.26, 0.575403, -4.33518, 0.784544, -6.74229
1.27, 0.577363, -4.37313, 0.745137, -6.79942
1.28, 0.579075, -4.41154, 0.705532, -6.85468
1.29, 0.580487, -4.4504, 0.665778, -6.90804
1.3, 0.581549, -4.48969, 0.625923, -6.95946
1.31, 0.582211, -4.52941, 0.586015, -7.00892
1.32, 0.582423, -4.56953, 0.546102, -7.05641
1.33, 0.582136, -4.61003, 0.506233, -7.1019
1.34, 0.581302, -4.65087, 0.466454, -7.14539
1.35, 0.579872, -4.69202, 0.426813, -7.18687
1.36, 0.577803, -4.73345, 0.387356, -7.22635
1.37, 0.575048, -4.77511, 0.348126, -7.26381
1.38, 0.571566, -4.81695, 0.309169, -7.29926
1.39, 0.567317, -4.85893, 0.270525, -7.33273
1.4, 0.562261, -4.90098, 0.232237, -7.36421
1.41, 0.556364, -4.94305, 0.194342, -7.39373
1.42, 0.54959, -4.98507, 0.156879, -7.42131
1.43, 0.541911, -5.02697, 0.119882, -7.44698
1.44, 0.533296, -5.0687, 0.0833858, -7.47075
1.45, 0.523723, -5.11017, 0.0474202, -7.49267
1.46, 0.513168, -5.15131, 0.0120146, -7.51277
1.47, 0.501612, -5.19204, -0.0228045, -7.53108
1.48, 0.489041, -5.23228, -0.0570129, -7.54765
1.49, 0.475441, -5.27194, -0.090589, -7.56252
1.5, 0.460804, -5.31096, -0.123513, -7.57573
1.51, 0.445125, -5.34923, -0.155769, -7.58732
1.52, 0.428401, -5.38667, -0.187343, -7.59735
1.53, 0.410635, -5.4232, -0.218222, -7.60587
1.54, 0.391829, -5.45873, -0.248398, -7.61293
1.55, 0.371994, -5.49317, -0.277864, -7.61858
1.56, 0.351141, -5.52643, -0.306615, -7.62287
1.57, 0.329283, -5.55843, -0.334651, -7.62585
1.58, 0.30644, -5.58908, -0.36197, -7.62759
1.59, 0.282632, -5.6183, -0.388576, -7.62813
1.6, 0.257884, -5.646, -0.414474, -7.62753
1.61, 0.232222, -5.67211, -0.439671, -7.62584
1.62, 0.205676, -5.69654, -0.464174, -7.62312
1.63, 0.178278, -5.71922, -0.487995, -7.61941
1.64, 0.150063, -5.74008, -0.511145, -7.61477
1.65, 0.121067, -5.75904, -0.533639, -7.60925
1.66, 0.091329, -5.77604, -0.555491, -7.60289
1.67, 0.06089, -5.79101, -0.576717, -7.59574
1.68, 0.0297921, -5.8039, -0.597334, -7.58786
1.69, -0.00192116, -5.81465, -0.61736, -7.57927
1.7, -0.0342048, -5.8232, -0.636814, -7.57002
1.71, -0.0670129, -5.82952, -0.655716, -7.56015
1.72, -0.100299, -5.83355, -0.674084, -7.54969
1.73, -0.134015, -5.83528, -0.691938, -7.53867
1.74, -0.168113, -5.83465, -0.7093, -7.52713
1.75, -0.202545, -5.83165, -0.726188, -7.51509
1.76, -0.237262, -5.82626, -0.742623, -7.50257
1.77, -0.272216, -5.81846, -0.758624, -7.4896
1.78, -0.307359, -5.80825, -0.774211, -7.47618
1.79, -0.342642, -5.79562, -0.789404, -7.46234
